Date,Births
1959/4/22,45
1959/4/23,54
1959/4/24,34
1959/4/25,37
1959/4/26,35
1959/4/27,40
1959/4/28,42
1959/4/29,58
1959/4/30,51
1959/5/1,32
1959/5/2,35
1959/5/3,38
1959/5/4,33
1959/5/5,39
1959/5/6,47
1959/5/7,38
1959/5/8,52
1959/5/9,30
1959/5/10,34
1959/5/11,40
1959/5/12,35
1959/5/13,42
1959/5/14,41
1959/5/15,42
1959/5/16,38
1959/5/17,24
1959/5/18,34
1959/5/19,43
1959/5/20,36
1959/5/21,55
1959/5/22,41
1959/5/23,45
1959/5/24,41
1959/5/25,37
1959/5/26,43
1959/5/27,39
1959/5/28,33
1959/5/29,43
1959/5/30,40
1959/5/31,38
1959/6/1,45
1959/6/2,46
1959/6/3,34
1959/6/4,35
1959/6/5,48
1959/6/6,51
1959/6/7,36
1959/6/8,33
1959/6/9,46
1959/6/10,42
1959/6/11,48
1959/6/12,34
1959/6/13,41
1959/6/14,35
1959/6/15,40
1959/6/16,34
1959/6/17,30
1959/6/18,36
1959/6/19,40
1959/6/20,39
1959/6/21,45
1959/6/22,38
1959/6/23,47
1959/6/24,33
1959/6/25,30
1959/6/26,42
1959/6/27,43
1959/6/28,41
1959/6/29,41
1959/6/30,59
1959/7/1,43
1959/7/2,45
1959/7/3,38
1959/7/4,37
1959/7/5,45
1959/7/6,42
1959/7/7,57
1959/7/8,46
1959/7/9,51
1959/7/10,41
1959/7/11,47
1959/7/12,26
1959/7/13,35
1959/7/14,44
1959/7/15,41
1959/7/16,42
1959/7/17,36
1959/7/18,45
1959/7/19,45
1959/7/20,45
1959/7/21,47
1959/7/22,38
1959/7/23,42
1959/7/24,35
1959/7/25,36
1959/7/26,39
1959/7/27,45
1959/7/28,43
1959/7/29,47
1959/7/30,36
1959/7/31,41
1959/8/1,50
1959/8/2,39
1959/8/3,41
1959/8/4,46
1959/8/5,64
1959/8/6,45
1959/8/7,34
1959/8/8,38
1959/8/9,44
1959/8/10,48
1959/8/11,46
1959/8/12,44
1959/8/13,37
1959/8/14,39
1959/8/15,44
1959/8/16,45
1959/8/17,33
1959/8/18,44
1959/8/19,38
1959/8/20,46
1959/8/21,46
1959/8/22,40
1959/8/23,39
1959/8/24,44
1959/8/25,48
1959/8/26,50
1959/8/27,41
1959/8/28,42
1959/8/29,51
1959/8/30,41
1959/8/31,44
1959/9/1,38
1959/9/2,68
1959/9/3,40
1959/9/4,42
1959/9/5,51
1959/9/6,44
1959/9/7,45
1959/9/8,36
1959/9/9,57
1959/9/10,44
1959/9/11,42
1959/9/12,53
1959/9/13,42
1959/9/14,34
1959/9/15,40
1959/9/16,56
1959/9/17,44
1959/9/18,53
1959/9/19,55
1959/9/20,39
1959/9/21,59
1959/9/22,55
1959/9/23,73
1959/9/24,55
1959/9/25,44
1959/9/26,43
1959/9/27,40
1959/9/28,47
1959/9/29,51
1959/9/30,56
1959/10/1,49
1959/10/2,54
1959/10/3,56
1959/10/4,47
1959/10/5,44
1959/10/6,43
1959/10/7,42
1959/10/8,45
1959/10/9,50
1959/10/10,48
1959/10/11,43
1959/10/12,40
1959/10/13,59
1959/10/14,41
1959/10/15,42
1959/10/16,51
1959/10/17,49
1959/10/18,45
1959/10/19,43
1959/10/20,42
1959/10/21,38
1959/10/22,47
1959/10/23,38
1959/10/24,36
1959/10/25,42
1959/10/26,35
1959/10/27,28
1959/10/28,44
1959/10/29,36
1959/10/30,45
1959/10/31,46
1959/11/1,48
1959/11/2,49
1959/11/3,43
1959/11/4,42
1959/11/5,59
1959/11/6,45
1959/11/7,52
1959/11/8,46
1959/11/9,42
1959/11/10,40
1959/11/11,40
1959/11/12,45
1959/11/13,35
1959/11/14,35
1959/11/15,40
1959/11/16,39
1959/11/17,33
1959/11/18,42
1959/11/19,47
1959/11/20,51
1959/11/21,44
1959/11/22,40
1959/11/23,57
1959/11/24,49
1959/11/25,45
1959/11/26,49
1959/11/27,51
1959/11/28,46
1959/11/29,44
1959/11/30,52
1959/12/1,45
1959/12/2,32
1959/12/3,46
1959/12/4,41
1959/12/5,34
1959/12/6,33
1959/12/7,36
1959/12/8,49
1959/12/9,43
1959/12/10,43
1959/12/11,34
1959/12/12,39
1959/12/13,35
1959/12/14,52
1959/12/15,47
1959/12/16,52
1959/12/17,39
1959/12/18,40
1959/12/19,42
1959/12/20,42
1959/12/21,53
1959/12/22,39
1959/12/23,40
1959/12/24,38
1959/12/25,44
1959/12/26,34
1959/12/27,37
1959/12/28,52
1959/12/29,48
1959/12/30,55
1959/12/31,50
